1997-05-07T15:37:09.134 3945343:21:5:0     85.07     28.64     -8.43     90.16 5.44548 -0.29702 4.05721 3.78769
1997-05-07T15:37:09.467 3945343:22:0:0     85.03     28.63     -8.33     90.11 5.44553 -0.29702 4.16744 3.89789
1997-05-07T15:37:09.801 3945343:22:5:0     85.01     28.61     -8.19     90.07 5.44563 -0.29698 4.27802 4.00847
1997-05-07T15:37:10.134 3945343:23:0:0     84.89     28.33     -7.98     89.85 5.44572 -0.29693 4.38785 4.11825
1997-05-07T15:37:10.467 3945343:23:5:0     84.97     28.35     -8.09     89.94 5.44572 -0.29688 4.49805 4.22845
1997-05-07T15:37:10.801 3945343:24:0:0     84.68     28.59     -8.19     89.75 5.44572 -0.29683 4.60817 4.33857
1997-05-07T15:37:11.134 3945343:24:5:0     84.61     28.39     -8.29     89.63 5.44582 -0.29678 4.71833 4.44873
1997-05-07T15:37:11.467 3945343:25:0:0     84.64     28.46     -8.27     89.68 5.44591 -0.29674 4.82839 4.55873
1997-05-07T15:37:11.801 3945343:25:5:0     84.61     28.67     -8.33     89.72 5.44591 -0.29669 4.93885 4.66918
1997-05-07T15:37:12.134 3945343:26:0:0     84.58     28.70     -8.55     89.72 5.44591 -0.29664 5.04861 4.77895
1997-05-07T15:37:12.467 3945343:26:5:0     84.66     28.91     -8.67     89.87 5.44587 -0.29659 5.15869 4.88903
1997-05-07T15:37:12.801 3945343:27:0:0     84.78     28.75     -8.68     89.94 5.44582 -0.29654 5.26903 4.99939
1997-05-07T15:37:13.134 3945343:27:5:0     84.90     28.75     -8.71     90.06 5.44582 -0.29645 5.37907 5.10944
1997-05-07T15:37:13.467 3945343:28:0:0     84.94     28.97     -8.70     90.16 5.44582 -0.29635 5.48906 5.21942
1997-05-07T15:37:13.801 3945343:28:5:0     85.14     28.98     -8.77     90.36 5.44577 -0.29630 5.59940 5.32976
1997-05-07T15:37:14.134 3945343:29:0:0     85.45     28.79     -8.81     90.60 5.44572 -0.29626 5.70918 5.43958
1997-05-07T15:37:14.467 3945343:29:5:0     85.73     28.95     -8.80     90.91 5.44567 -0.29621 5.81918 5.54957
1997-05-07T15:37:14.801 3945343:30:0:0     85.77     28.79     -8.81     90.91 5.44563 -0.29616 5.92940 5.65983
1997-05-07T15:37:15.134 3945343:30:5:0     85.78     28.64     -8.88     90.87 5.44553 -0.29616 6.03939 5.76982
1997-05-07T15:37:15.467 3945343:31:0:0     85.72     28.66     -8.94     90.83 5.44543 -0.29616 6.14953 5.88001
1997-05-07T15:37:15.801 3945343:31:5:0     85.69     28.54     -8.96     90.76 5.44534 -0.29616 6.25985 5.99033
1997-05-07T15:37:16.134 3945343:32:0:0     85.69     28.60     -8.96     90.78 5.44524 -0.29616 0.08638 6.10011
1997-05-07T15:37:16.467 3945343:32:5:0     85.65     28.87     -8.83     90.81 5.44519 -0.29621 0.19636 6.21008
1997-05-07T15:37:16.801 3945343:33:0:0     85.79     28.84     -8.72     90.92 5.44515 -0.29626 0.30651 0.03708
1997-05-07T15:37:17.134 3945343:33:5:0     85.69     28.94     -8.43     90.83 5.44505 -0.29626 0.41648 0.14705
1997-05-07T15:37:17.467 3945343:34:0:0     85.66     29.03     -8.31     90.83 5.44495 -0.29626 0.52673 0.25736
1997-05-07T15:37:17.801 3945343:34:5:0     85.64     29.06     -8.12     90.80 5.44495 -0.29630 0.63703 0.36766
1997-05-07T15:37:18.134 3945343:35:0:0     85.72     28.96     -8.18     90.85 5.44495 -0.29635 0.74695 0.47758
1997-05-07T15:37:18.467 3945343:35:5:0     85.79     28.99     -8.29     90.93 5.44491 -0.29645 0.85692 0.58755
1997-05-07T15:37:18.801 3945343:36:0:0     85.82     28.85     -8.42     90.92 5.44486 -0.29654 0.96727 0.69793
1997-05-07T15:37:19.134 3945343:36:5:0     86.02     28.65     -8.38     91.05 5.44486 -0.29659 1.07724 0.80790
1997-05-07T15:37:19.467 3945343:37:0:0     86.04     28.62     -8.55     91.07 5.44486 -0.29664 1.18730 0.91796
1997-05-07T15:37:19.801 3945343:37:5:0     86.09     28.55     -8.63     91.11 5.44486 -0.29674 1.29761 1.02827
1997-05-07T15:37:20.134 3945343:38:0:0     86.09     28.45     -8.82     91.10 5.44486 -0.29683 1.40743 1.13809
1997-05-07T15:37:20.467 3945343:38:5:0     86.15     28.47     -8.74     91.15 5.44491 -0.29688 1.51740 1.24806
1997-05-07T15:37:20.801 3945343:39:0:0     86.13     28.44     -8.66     91.11 5.44495 -0.29693 1.62765 1.35828
1997-05-07T15:37:21.134 3945343:39:5:0     86.11     28.47     -8.48     91.09 5.44500 -0.29698 1.73763 1.46826
1997-05-07T15:37:21.467 3945343:40:0:0     86.10     28.72     -8.59     91.17 5.44505 -0.29702 1.84787 1.57847
1997-05-07T15:37:21.801 3945343:40:5:0     85.93     29.08     -8.48     91.12 5.44510 -0.29707 1.95819 1.68879
1997-05-07T15:37:22.134 3945343:41:0:0     85.90     29.08     -8.29     91.07 5.44515 -0.29712 2.06800 1.79857
1997-05-07T15:37:22.467 3945343:41:5:0     85.85     29.16     -8.24     91.04 5.44524 -0.29717 2.17799 1.90856
1997-05-07T15:37:22.801 3945343:42:0:0     85.87     29.07     -8.39     91.05 5.44534 -0.29721 2.28831 2.01883
1997-05-07T15:37:23.134 3945343:42:5:0     85.95     29.07     -8.48     91.13 5.44539 -0.29721 2.39830 2.12881
1997-05-07T15:37:23.467 3945343:43:0:0     86.01     29.09     -8.28     91.17 5.44543 -0.29721 2.50834 2.23883
1997-05-07T15:37:23.801 3945343:43:5:0     86.03     29.10     -8.40     91.20 5.44553 -0.29717 2.61866 2.34914
1997-05-07T15:37:24.134 3945343:44:0:0     85.92     29.10     -8.49     91.11 5.44563 -0.29712 2.72866 2.45909
1997-05-07T15:37:24.467 3945343:44:5:0     86.02     29.11     -8.44     91.21 5.44567 -0.29707 2.83864 2.56907
1997-05-07T15:37:24.801 3945343:45:0:0     86.18     29.14     -8.42     91.37 5.44572 -0.29702 2.94888 2.67928
1997-05-07T15:37:25.134 3945343:45:5:0     86.28     29.04     -8.60     91.44 5.44582 -0.29698 3.05887 2.78927
1997-05-07T15:37:25.467 3945343:46:0:0     86.37     29.03     -8.47     91.51 5.44591 -0.29693 3.16920 2.89954
1997-05-07T15:37:25.801 3945343:46:5:0     86.37     29.08     -8.49     91.53 5.44591 -0.29688 3.27952 3.00986
1997-05-07T15:37:26.134 3945343:47:0:0     86.47     29.19     -8.62     91.67 5.44591 -0.29683 3.38923 3.11957
1997-05-07T15:37:26.467 3945343:47:5:0     86.31     29.24     -8.65     91.54 5.44591 -0.29674 3.49921 3.22955
1997-05-07T15:37:26.801 3945343:48:0:0     86.45     29.19     -8.59     91.64 5.44591 -0.29664 3.60945 3.33979
1997-05-07T15:37:27.134 3945343:48:5:0     86.44     29.13     -8.70     91.63 5.44587 -0.29659 3.71943 3.44977
1997-05-07T15:37:27.467 3945343:49:0:0     86.36     29.20     -8.69     91.57 5.44582 -0.29654 3.82948 3.55985
1997-05-07T15:37:27.801 3945343:49:5:0     86.30     29.31     -8.64     91.55 5.44587 -0.29645 3.93979 3.67016
1997-05-07T15:37:28.134 3945343:50:0:0     86.34     29.29     -8.69     91.58 5.44591 -0.29635 4.04971 3.78004
1997-05-07T15:37:28.467 3945343:50:5:0     86.31     29.28     -8.61     91.55 5.44582 -0.29635 4.15968 3.89002
1997-05-07T15:37:28.801 3945343:51:0:0     86.26     29.27     -8.60     91.50 5.44572 -0.29635 4.26993 4.00032
1997-05-07T15:37:29.134 3945343:51:5:0     86.21     29.27     -8.52     91.44 5.44567 -0.29630 4.37990 4.11030
1997-05-07T15:37:29.467 3945343:52:0:0     86.24     29.25     -8.50     91.46 5.44563 -0.29626 4.49005 4.22048
1997-05-07T15:37:29.801 3945343:52:5:0     86.17     29.21     -8.39     91.38 5.44553 -0.29626 4.60036 4.33078
1997-05-07T15:37:30.134 3945343:53:0:0     86.21     29.11     -8.43     91.38 5.44543 -0.29626 4.71018 4.44066
1997-05-07T15:37:30.467 3945343:53:5:0     86.36     29.04     -8.33     91.49 5.44539 -0.29626 4.82014 4.55062
1997-05-07T15:37:30.801 3945343:54:0:0     86.46     28.98     -8.33     91.56 5.44534 -0.29626 4.93040 4.66091
1997-05-07T15:37:31.134 3945343:54:5:0     86.50     28.97     -8.48     91.62 5.44529 -0.29626 5.04037 4.77088
1997-05-07T15:37:31.467 3945343:55:0:0     86.63     28.87     -8.51     91.71 5.44524 -0.29626 5.15053 4.88107
1997-05-07T15:37:31.801 3945343:55:5:0     86.81     28.78     -8.35     91.84 5.44519 -0.29630 5.26082 4.99137
1997-05-07T15:37:32.134 3945343:56:0:0     86.87     28.73     -8.36     91.88 5.44515 -0.29635 5.37065 5.10122
1997-05-07T15:37:32.467 3945343:56:5:0     86.91     28.84     -8.41     91.96 5.44510 -0.29640 5.48063 5.21120
1997-05-07T15:37:32.801 3945343:57:0:0     86.94     29.11     -8.44     92.07 5.44505 -0.29645 5.59087 5.32148
1997-05-07T15:37:33.134 3945343:57:5:0     86.99     29.24     -8.57     92.17 5.44505 -0.29650 5.70085 5.43145
1997-05-07T15:37:33.467 3945343:58:0:0     87.03     29.25     -8.59     92.21 5.44505 -0.29654 5.81090 5.54151
1997-05-07T15:37:33.801 3945343:58:5:0     86.93     29.26     -8.55     92.12 5.44505 -0.29659 5.92121 5.65181
1997-05-07T15:37:34.134 3945343:59:0:0     86.89     29.31     -8.56     92.10 5.44505 -0.29664 6.03113 5.76173
1997-05-07T15:37:34.467 3945343:59:5:0     86.88     29.33     -8.61     92.10 5.44505 -0.29669 6.14110 5.87170
1997-05-07T15:37:34.801 3945343:60:0:0     86.96     29.08     -8.68     92.11 5.44505 -0.29674 6.25125 5.98185
1997-05-07T15:37:35.134 3945343:60:5:0     87.00     28.93     -8.53     92.08 5.44510 -0.29678 0.07804 6.09183
1997-05-07T15:37:35.467 3945343:61:0:0     86.96     28.93     -8.46     92.03 5.44515 -0.29683 0.18830 6.20205
1997-05-07T15:37:35.801 3945343:61:5:0     87.01     29.03     -8.42     92.11 5.44519 -0.29688 0.29860 0.02918
1997-05-07T15:37:36.134 3945343:62:0:0     87.26     28.94     -8.35     92.31 5.44524 -0.29693 0.40852 0.13906
1997-05-07T15:37:36.467 3945343:62:5:0     87.21     28.89     -8.45     92.25 5.44529 -0.29693 0.51850 0.24904
1997-05-07T15:37:36.801 3945343:63:0:0     87.31     28.58     -8.53     92.26 5.44534 -0.29693 0.62874 0.35925
1997-05-07T15:37:37.134 3945343:63:5:0     87.18     28.75     -8.60     92.20 5.44539 -0.29693 0.73872 0.46923
1997-05-07T15:37:37.467 3945343:64:0:0     87.16     28.94     -8.70     92.25 5.44543 -0.29693 0.84896 0.57945
1997-05-07T15:37:37.801 3945343:64:5:0     87.05     29.08     -8.72     92.19 5.44543 -0.29693 0.95927 0.68975
1997-05-07T15:37:38.134 3945343:65:0:0     87.13     29.17     -8.64     92.28 5.44543 -0.29693 1.06909 0.79957
1997-05-07T15:37:38.467 3945343:65:5:0     87.12     29.20     -8.76     92.30 5.44548 -0.29688 1.17907 0.90955
1997-05-07T15:37:38.801 3945343:66:0:0     87.23     29.20     -8.59     92.39 5.44553 -0.29683 1.28931 1.01976
1997-05-07T15:37:39.134 3945343:66:5:0     87.28     29.24     -8.59     92.45 5.44553 -0.29683 1.39929 1.12975
1997-05-07T15:37:39.467 3945343:67:0:0     87.34     29.24     -8.66     92.51 5.44553 -0.29683 1.50944 1.23989
1997-05-07T15:37:39.801 3945343:67:5:0     87.28     29.31     -8.66     92.47 5.44558 -0.29678 1.61975 1.35020
1997-05-07T15:37:40.134 3945343:68:0:0     87.17     29.19     -8.64     92.33 5.44563 -0.29674 1.72966 1.46008
1997-05-07T15:37:40.467 3945343:68:5:0     87.18     29.15     -8.69     92.34 5.44558 -0.29669 1.83964 1.57006
1997-05-07T15:37:40.801 3945343:69:0:0     87.06     29.25     -8.60     92.25 5.44553 -0.29664 1.94978 1.68024
1997-05-07T15:37:41.134 3945343:69:5:0     87.11     29.00     -8.57     92.21 5.44553 -0.29659 2.05976 1.79022
1997-05-07T15:37:41.467 3945343:70:0:0     87.01     28.80     -8.67     92.06 5.44553 -0.29654 2.16991 1.90036
1997-05-07T15:37:41.801 3945343:70:5:0     86.95     28.78     -8.76     92.01 5.44553 -0.29654 2.28021 2.01067
1997-05-07T15:37:42.134 3945343:71:0:0     86.95     28.49     -8.50     91.90 5.44553 -0.29654 2.39013 2.12059
1997-05-07T15:37:42.467 3945343:71:5:0     86.99     28.41     -8.40     91.89 5.44548 -0.29654 2.50011 2.23056
1997-05-07T15:37:42.801 3945343:72:0:0     87.05     28.20     -8.45     91.89 5.44543 -0.29654 2.61026 2.34074
1997-05-07T15:37:43.134 3945343:72:5:0     87.01     28.39     -8.25     91.90 5.44543 -0.29650 2.72023 2.45072
1997-05-07T15:37:43.467 3945343:73:0:0     87.10     28.48     -8.41     92.02 5.44543 -0.29645 2.83048 2.56096
1997-05-07T15:37:43.801 3945343:73:5:0     87.13     28.44     -8.48     92.04 5.44539 -0.29650 2.94079 2.67127
1997-05-07T15:37:44.134 3945343:74:0:0     87.19     28.37     -8.63     92.10 5.44534 -0.29654 3.05070 2.78121
1997-05-07T15:37:44.467 3945343:74:5:0     87.28     28.23     -8.55     92.14 5.44529 -0.29654 3.16068 2.89119
1997-05-07T15:37:44.801 3945343:75:0:0     87.33     28.31     -8.48     92.20 5.44524 -0.29654 3.27073 3.00127
1997-05-07T15:37:45.134 3945343:75:5:0     87.29     28.31     -8.49     92.16 5.44524 -0.29659 3.38071 3.11125
1997-05-07T15:37:45.467 3945343:76:0:0     87.24     28.41     -8.67     92.16 5.44524 -0.29664 3.49105 3.22159
1997-05-07T15:37:45.801 3945343:76:5:0     87.19     28.47     -8.82     92.15 5.44519 -0.29669 3.60136 3.33191
1997-05-07T15:37:46.134 3945343:77:0:0     87.11     28.37     -8.83     92.04 5.44515 -0.29674 3.71117 3.44175
1997-05-07T15:37:46.467 3945343:77:5:0     87.01     28.32     -8.78     91.92 5.44519 -0.29674 3.82116 3.55173
1997-05-07T15:37:46.801 3945343:78:0:0     87.07     28.39     -8.67     91.99 5.44524 -0.29674 3.93140 3.66194
1997-05-07T15:37:47.134 3945343:78:5:0     86.96     28.29     -8.68     91.86 5.44524 -0.29678 4.04138 3.77192
1997-05-07T15:37:47.467 3945343:79:0:0     86.98     28.23     -8.55     91.84 5.44524 -0.29683 4.15152 3.88207
1997-05-07T15:37:47.801 3945343:79:5:0     86.83     28.10     -8.34     91.64 5.44534 -0.29683 4.26184 3.99238
1997-05-07T15:37:48.134 3945343:80:0:0     86.89     28.00     -8.28     91.67 5.44543 -0.29683 4.37174 4.10223
1997-05-07T15:37:48.467 3945343:80:5:0     86.73     28.12     -8.27     91.55 5.44543 -0.29683 4.48173 4.21221
1997-05-07T15:37:48.801 3945343:81:0:0     86.69     28.18     -8.41     91.54 5.44543 -0.29683 4.59206 4.32255
1997-05-07T15:37:49.134 3945343:81:5:0     86.65     28.13     -8.49     91.49 5.44548 -0.29683 4.70204 4.43253
1997-05-07T15:37:49.467 3945343:82:0:0     86.61     28.25     -8.59     91.51 5.44553 -0.29683 4.81228 4.54274
1997-05-07T15:37:49.801 3945343:82:5:0     86.65     28.35     -8.72     91.59 5.44553 -0.29683 4.92260 4.65305
1997-05-07T15:37:50.134 3945343:83:0:0     86.64     28.22     -8.92     91.55 5.44553 -0.29683 5.03231 4.76277
1997-05-07T15:37:50.467 3945343:83:5:0     86.73     27.95     -8.94     91.56 5.44563 -0.29678 5.14229 4.87275
1997-05-07T15:37:50.801 3945343:84:0:0     86.61     28.16     -9.20     91.53 5.44572 -0.29674 5.25254 4.98293
1997-05-07T15:37:51.134 3945343:84:5:0     86.53     28.04     -9.21     91.43 5.44572 -0.29674 5.36251 5.09291
1997-05-07T15:37:51.467 3945343:85:0:0     86.38     28.03     -9.30     91.29 5.44572 -0.29674 5.47266 5.20306
