1997-04-05T06:44:41.073 3899242:88:0:0     74.64     69.83    -31.85    107.06 5.53095 -0.26328 4.57471 4.27985
1997-04-05T06:44:41.406 3899242:88:5:0     74.59     69.90    -31.84    107.07 5.53100 -0.26328 4.68459 4.38973
1997-04-05T06:44:41.739 3899242:89:0:0     74.55     69.89    -31.85    107.04 5.53105 -0.26328 4.79474 4.49986
1997-04-05T06:44:42.073 3899242:89:5:0     74.44     69.92    -31.84    106.98 5.53105 -0.26323 4.90495 4.61007
1997-04-05T06:44:42.406 3899242:90:0:0     74.45     69.83    -31.81    106.91 5.53105 -0.26318 5.01477 4.71989
1997-04-05T06:44:42.739 3899242:90:5:0     74.54     69.77    -31.89    106.96 5.53110 -0.26318 5.12465 4.82977
1997-04-05T06:44:43.073 3899243:00:0:0     74.51     69.83    -31.89    106.98 5.53115 -0.26318 5.23470 4.93979
1997-04-05T06:44:43.406 3899243:00:5:0     74.50     69.83    -31.85    106.96 5.53115 -0.26313 5.34459 5.04968
1997-04-05T06:44:43.739 3899243:01:0:0     74.57     69.83    -31.92    107.03 5.53115 -0.26308 5.45464 5.15973
1997-04-05T06:44:44.073 3899243:01:5:0     74.61     69.83    -31.79    107.02 5.53124 -0.26299 5.56485 5.26994
1997-04-05T06:44:44.406 3899243:02:0:0     74.70     69.86    -31.80    107.11 5.53134 -0.26289 5.67467 5.37970
1997-04-05T06:44:44.739 3899243:02:5:0     74.71     69.81    -31.89    107.10 5.53129 -0.26284 5.78455 5.48958
1997-04-05T06:44:45.073 3899243:03:0:0     74.68     69.84    -31.87    107.10 5.53124 -0.26280 5.89470 5.59976
1997-04-05T06:44:45.406 3899243:03:5:0     74.68     69.90    -31.89    107.15 5.53124 -0.26275 6.00458 5.70964
1997-04-05T06:44:45.739 3899243:04:0:0     74.69     69.84    -31.78    107.08 5.53124 -0.26270 6.11463 5.81969
1997-04-05T06:44:46.073 3899243:04:5:0     74.54     70.05    -31.87    107.14 5.53119 -0.26265 6.22484 5.92990
1997-04-05T06:44:46.406 3899243:05:0:0     74.54     70.05    -31.78    107.12 5.53115 -0.26260 0.05148 6.03976
1997-04-05T06:44:46.739 3899243:05:5:0     74.47     70.02    -31.73    107.03 5.53105 -0.26260 0.16136 6.14963
1997-04-05T06:44:47.073 3899243:06:0:0     74.42     69.91    -31.69    106.91 5.53095 -0.26260 0.27132 6.25965
