UTC time, Bx_high, By_high, Bz_high, Bx_low, By_low, Bz_low, Bx_simple, By_simple, Bz_simple, x (R_G), y(R_G), z(R_G)
1997-12-15T09:30:23.702,       -0.025,       -0.083,       -0.007,       -0.021,       -0.072,       -0.007,       -0.020,       -0.072,       -0.007,     -5.79012,     -6.13919,     -0.60330
1997-12-15T09:30:47.702,       -0.024,       -0.085,       -0.008,       -0.020,       -0.073,       -0.007,       -0.019,       -0.074,       -0.007,     -5.71294,     -6.14211,     -0.60406
1997-12-15T09:31:11.702,       -0.023,       -0.086,       -0.008,       -0.019,       -0.075,       -0.007,       -0.019,       -0.075,       -0.007,     -5.63576,     -6.14506,     -0.60483
1997-12-15T09:31:35.702,       -0.022,       -0.088,       -0.008,       -0.018,       -0.076,       -0.007,       -0.018,       -0.076,       -0.007,     -5.55859,     -6.14805,     -0.60559
1997-12-15T09:31:59.702,       -0.022,       -0.090,       -0.008,       -0.018,       -0.077,       -0.007,       -0.017,       -0.078,       -0.007,     -5.48141,     -6.15107,     -0.60635
1997-12-15T09:32:23.702,       -0.021,       -0.091,       -0.008,       -0.017,       -0.079,       -0.007,       -0.016,       -0.079,       -0.007,     -5.40423,     -6.15413,     -0.60712
1997-12-15T09:32:47.702,       -0.020,       -0.093,       -0.008,       -0.016,       -0.080,       -0.008,       -0.015,       -0.080,       -0.008,     -5.32705,     -6.15722,     -0.60788
1997-12-15T09:33:11.702,       -0.018,       -0.094,       -0.009,       -0.015,       -0.081,       -0.008,       -0.014,       -0.081,       -0.008,     -5.24987,     -6.16034,     -0.60864
1997-12-15T09:33:35.702,       -0.017,       -0.096,       -0.009,       -0.014,       -0.083,       -0.008,       -0.013,       -0.083,       -0.008,     -5.17269,     -6.16350,     -0.60940
1997-12-15T09:33:59.702,       -0.016,       -0.097,       -0.009,       -0.013,       -0.084,       -0.008,       -0.012,       -0.084,       -0.008,     -5.09551,     -6.16670,     -0.61017
1997-12-15T09:34:23.702,       -0.015,       -0.099,       -0.009,       -0.012,       -0.085,       -0.008,       -0.011,       -0.085,       -0.008,     -5.01833,     -6.16992,     -0.61093
1997-12-15T09:34:47.702,       -0.013,       -0.101,       -0.009,       -0.010,       -0.087,       -0.008,       -0.010,       -0.087,       -0.008,     -4.94114,     -6.17319,     -0.61169
1997-12-15T09:35:11.702,       -0.012,       -0.102,       -0.009,       -0.009,       -0.088,       -0.008,       -0.009,       -0.088,       -0.008,     -4.86396,     -6.17648,     -0.61245
1997-12-15T09:35:35.702,       -0.010,       -0.104,       -0.010,       -0.008,       -0.089,       -0.009,       -0.007,       -0.089,       -0.009,     -4.78678,     -6.17981,     -0.61321
1997-12-15T09:35:59.702,       -0.009,       -0.105,       -0.010,       -0.006,       -0.090,       -0.009,       -0.006,       -0.090,       -0.009,     -4.70959,     -6.18317,     -0.61397
1997-12-15T09:36:23.702,       -0.007,       -0.106,       -0.010,       -0.005,       -0.092,       -0.009,       -0.004,       -0.091,       -0.009,     -4.63241,     -6.18657,     -0.61473
1997-12-15T09:36:47.702,       -0.006,       -0.108,       -0.010,       -0.003,       -0.093,       -0.009,       -0.003,       -0.092,       -0.009,     -4.55522,     -6.19000,     -0.61549
1997-12-15T09:37:11.702,       -0.004,       -0.109,       -0.010,       -0.002,       -0.094,       -0.009,       -0.001,       -0.094,       -0.009,     -4.47804,     -6.19346,     -0.61624
1997-12-15T09:37:35.702,       -0.002,       -0.110,       -0.010,       -0.000,       -0.095,       -0.009,        0.000,       -0.095,       -0.009,     -4.40085,     -6.19696,     -0.61700
