1,-0.074257,-0.23812,0.53989,-0.084729,-0.075252,-0.13284,0.045287,-0.016026,-0.05383,-0.40247,-0.55231,0.079062,0.033055,0.015594
-0.074257,1,0.01065,-0.037328,0.62674,0.02235,-0.0901,0.014288,0.015642,0.26349,0.016764,-0.02375,-0.53334,-0.66981,0.032075
-0.23812,0.01065,1,-0.27134,0.050204,0.39602,-0.3581,-0.07203,0.25255,0.00038073,-0.066322,0.3409,-0.040059,-0.050611,-0.69281
0.53989,-0.037328,-0.27134,1,-0.037962,-0.14743,0.39724,-0.040481,0.53097,-0.087388,-0.074417,-0.057224,-0.026792,-0.034967,0.30019
-0.084729,0.62674,0.050204,-0.037962,1,0.051189,-0.035145,-0.42387,0.042633,0.71817,0.044576,0.0073178,-0.32192,-0.11105,0.047093
-0.075252,0.02235,0.39602,-0.14743,0.051189,1,0.24609,-0.033955,-0.22703,0.034609,0.44262,-0.20222,-0.10894,-0.090415,-0.035248
-0.13284,-0.0901,-0.3581,0.39724,-0.035145,0.24609,1,-0.022958,0.039106,-0.020086,0.33958,0.20203,-0.048671,-0.033753,0.42815
0.045287,0.014288,-0.07203,-0.040481,-0.42387,-0.033955,-0.022958,1,-0.1103,-0.18078,0.024312,-0.048514,0.36401,-0.25772,-0.054614
-0.016026,0.015642,0.25255,0.53097,0.042633,-0.22703,0.039106,-0.1103,1,-0.035253,-0.19047,0.54987,-0.086556,-0.030222,-0.14597
-0.05383,0.26349,0.00038073,-0.087388,0.71817,0.034609,-0.020086,-0.18078,-0.035253,1,0.040584,-0.0077425,-0.25497,0.15895,-0.011745
-0.40247,0.016764,-0.066322,-0.074417,0.044576,0.44262,0.33958,0.024312,-0.19047,0.040584,1,0.1139,-0.036608,-0.015952,0.29079
-0.55231,-0.02375,0.3409,-0.057224,0.0073178,-0.20222,0.20203,-0.048514,0.54987,-0.0077425,0.1139,1,-0.045711,-0.015962,-0.38927
0.079062,-0.53334,-0.040059,-0.026792,-0.32192,-0.10894,-0.048671,0.36401,-0.086556,-0.25497,-0.036608,-0.045711,1,0.49238,-0.040993
0.033055,-0.66981,-0.050611,-0.034967,-0.11105,-0.090415,-0.033753,-0.25772,-0.030222,0.15895,-0.015952,-0.015962,0.49238,1,-0.00091829
0.015594,0.032075,-0.69281,0.30019,0.047093,-0.035248,0.42815,-0.054614,-0.14597,-0.011745,0.29079,-0.38927,-0.040993,-0.00091829,1
