timebg	Bbgz
2021-06-07T16:35:00.506	-66.1477640669393
2021-06-07T16:35:01.506	-66.1554987229082
2021-06-07T16:35:02.506	-66.163233378877
2021-06-07T16:35:03.506	-66.1709680348459
2021-06-07T16:35:04.506	-66.1787026908147
2021-06-07T16:35:05.506	-66.1864373467836
2021-06-07T16:35:06.506	-66.1941720027524
2021-06-07T16:35:07.506	-66.2019066587213
2021-06-07T16:35:08.506	-66.2096413146901
2021-06-07T16:35:09.506	-66.2173759706589
2021-06-07T16:35:10.506	-66.2251106266278
2021-06-07T16:35:11.506	-66.2328452825966
2021-06-07T16:35:12.506	-66.2405799385655
2021-06-07T16:35:13.506	-66.2483145945343
2021-06-07T16:35:14.506	-66.2560492505032
2021-06-07T16:35:15.506	-66.263783906472
2021-06-07T16:35:16.506	-66.2715185624408
2021-06-07T16:35:17.506	-66.2792532184097
2021-06-07T16:35:18.506	-66.2869878743785
2021-06-07T16:35:19.506	-66.2947225303474
2021-06-07T16:35:20.506	-66.3024571863162
2021-06-07T16:35:21.506	-66.3101918422851
2021-06-07T16:35:22.506	-66.3179264982539
2021-06-07T16:35:23.506	-66.3256611542228
2021-06-07T16:35:24.506	-66.3333958101916
2021-06-07T16:35:25.506	-66.3411304661604
2021-06-07T16:35:26.506	-66.3488651221293
2021-06-07T16:35:27.506	-66.3565997780981
2021-06-07T16:35:28.506	-66.364334434067
2021-06-07T16:35:29.506	-66.3720690900358
2021-06-07T16:35:30.506	-66.3798037460047
2021-06-07T16:35:31.506	-66.3875384019735
2021-06-07T16:35:32.506	-66.3952730579423
2021-06-07T16:35:33.506	-66.4030077139112
2021-06-07T16:35:34.506	-66.41074236988
2021-06-07T16:35:35.506	-66.4184770258489
2021-06-07T16:35:36.506	-66.4262116818177
2021-06-07T16:35:37.506	-66.4339463377866
2021-06-07T16:35:38.506	-66.4416809937554
2021-06-07T16:35:39.506	-66.4494156497243
2021-06-07T16:35:40.506	-66.4571503056931
2021-06-07T16:35:41.505	-66.464877227006
2021-06-07T16:35:42.505	-66.4726118829748
2021-06-07T16:35:43.505	-66.4803465389437
2021-06-07T16:35:44.506	-66.4880889295685
2021-06-07T16:35:45.505	-66.4958158508814
2021-06-07T16:35:46.506	-66.5035582415062
2021-06-07T16:35:47.506	-66.511292897475
2021-06-07T16:35:48.506	-66.5190275534439
2021-06-07T16:35:49.506	-66.5267622094127
2021-06-07T16:35:50.506	-66.5344968653815
2021-06-07T16:35:51.506	-66.5422315213504
2021-06-07T16:35:52.505	-66.5499584426633
2021-06-07T16:35:53.505	-66.5576930986321
2021-06-07T16:35:54.505	-66.565427754601
2021-06-07T16:35:55.505	-66.5731624105698
2021-06-07T16:35:56.505	-66.5808970665386
2021-06-07T16:35:57.505	-66.5886317225075
2021-06-07T16:35:58.505	-66.5963663784763
2021-06-07T16:35:59.506	-66.6041087691011
2021-06-07T16:36:00.506	-66.61184342507
2021-06-07T16:36:01.506	-66.6195780810388
