timedata	Var2
1996-09-06T18:32:44.787	-59.0299709224486
1996-09-06T18:32:45.154	-59.2584711066732
1996-09-06T18:32:45.454	-59.3214228345077
1996-09-06T18:32:45.821	-59.5797537215325
1996-09-06T18:32:46.121	-59.2156285733804
1996-09-06T18:32:46.487	-58.5091781785093
1996-09-06T18:32:46.787	-57.8861973116202
1996-09-06T18:32:47.154	-58.4264907937047
1996-09-06T18:32:47.454	-58.21982499473
1996-09-06T18:32:47.821	-58.3791596815484
1996-09-06T18:32:48.121	-58.5063334835742
1996-09-06T18:32:48.487	-58.3795018849443
1996-09-06T18:32:48.787	-58.3301400477888
1996-09-06T18:32:49.154	-58.4252839710306
1996-09-06T18:32:49.454	-58.366336098549
1996-09-06T18:32:49.821	-58.376578370435
1996-09-06T18:32:50.121	-58.4157524464214
1996-09-06T18:32:50.487	-58.3032306562045
1996-09-06T18:32:50.787	-58.4073272413029
1996-09-06T18:32:51.154	-58.3649079628365
1996-09-06T18:32:51.454	-57.9986131725418
1996-09-06T18:32:51.821	-57.7476538773843
1996-09-06T18:32:52.121	-57.8091988205329
1996-09-06T18:32:52.487	-57.7641373701443
1996-09-06T18:32:52.787	-57.7558983660597
1996-09-06T18:32:53.154	-57.5818267471158
1996-09-06T18:32:53.454	-57.5217623323344
1996-09-06T18:32:53.821	-57.6137775158716
1996-09-06T18:32:54.121	-57.7963602815331
1996-09-06T18:32:54.487	-57.9317241198673
1996-09-06T18:32:54.787	-57.8209810109701
1996-09-06T18:32:55.154	-57.5838279443012
1996-09-06T18:32:55.454	-57.4103583909443
1996-09-06T18:32:55.821	-57.5370712010946
1996-09-06T18:32:56.121	-57.3645562098069
1996-09-06T18:32:56.487	-57.3693276450348
1996-09-06T18:32:56.787	-57.5392697767083
1996-09-06T18:32:57.154	-57.4509965175028
1996-09-06T18:32:57.454	-57.3418506393595
1996-09-06T18:32:57.821	-57.7026819980352
1996-09-06T18:32:58.121	-57.6807481055699
1996-09-06T18:32:58.487	-57.8468876224955
1996-09-06T18:32:58.787	-57.893919380013
1996-09-06T18:32:59.154	-57.8867751690782
1996-09-06T18:32:59.454	-57.7535227134323
1996-09-06T18:32:59.821	-57.6037538801091
1996-09-06T18:33:00.121	-57.4794084489751
1996-09-06T18:33:00.487	-57.621588853705
1996-09-06T18:33:00.787	-58.3142851807716
1996-09-06T18:33:01.154	-58.3331069267769
1996-09-06T18:33:01.454	-58.2653392842267
1996-09-06T18:33:01.821	-58.4951022219953
1996-09-06T18:33:02.121	-58.8051748654949
1996-09-06T18:33:02.487	-59.0050958837524
1996-09-06T18:33:02.787	-59.3460605982424
1996-09-06T18:33:03.154	-59.1104689925246
1996-09-06T18:33:03.454	-58.9689564690011
1996-09-06T18:33:03.821	-58.7204773408682
1996-09-06T18:33:04.121	-58.7345893257651
1996-09-06T18:33:04.487	-58.5228382253718
1996-09-06T18:33:04.787	-58.2635034297544
1996-09-06T18:33:05.154	-58.1513127298161
1996-09-06T18:33:05.454	-58.2492351766955
1996-09-06T18:33:05.821	-57.9629690918441
1996-09-06T18:33:06.121	-58.0593378788645
1996-09-06T18:33:06.487	-58.2160200265889
1996-09-06T18:33:06.787	-58.4223941484114
1996-09-06T18:33:07.154	-58.1886998790645
1996-09-06T18:33:07.454	-58.1386536505707
1996-09-06T18:33:07.821	-58.0867995754083
1996-09-06T18:33:08.121	-58.0796847523439
1996-09-06T18:33:08.487	-58.1494125705921
1996-09-06T18:33:08.787	-57.8884749230576
1996-09-06T18:33:09.154	-57.6817813862975
1996-09-06T18:33:09.454	-57.4130494110577
1996-09-06T18:33:09.821	-57.3629489234236
1996-09-06T18:33:10.121	-57.8360859526589
1996-09-06T18:33:10.487	-58.4538646774918
1996-09-06T18:33:10.787	-59.2881454224563
1996-09-06T18:33:11.154	-59.439330939783
1996-09-06T18:33:11.454	-58.9884817109432
1996-09-06T18:33:11.821	-58.6138727901734
1996-09-06T18:33:12.121	-58.5129327785926
1996-09-06T18:33:12.487	-58.3253274507963
1996-09-06T18:33:12.787	-58.5120227192154
1996-09-06T18:33:13.154	-58.4638068563804
1996-09-06T18:33:13.454	-58.6830441495818
1996-09-06T18:33:13.821	-58.8501061869772
1996-09-06T18:33:14.121	-59.0652065559618
1996-09-06T18:33:14.487	-58.980866148381
1996-09-06T18:33:14.787	-58.9125313584185
1996-09-06T18:33:15.154	-58.9031757937148
1996-09-06T18:33:15.454	-58.8430447047539
1996-09-06T18:33:15.821	-58.9488409231466
1996-09-06T18:33:16.121	-58.9570335986841
1996-09-06T18:33:16.487	-58.9350255403676
1996-09-06T18:33:16.787	-58.9895414458095
1996-09-06T18:33:17.154	-58.922502713386
1996-09-06T18:33:17.454	-58.9222069666526
1996-09-06T18:33:17.821	-59.0786304816923
1996-09-06T18:33:18.121	-59.1964590543589
1996-09-06T18:33:18.487	-59.2016190769921
1996-09-06T18:33:18.787	-59.3325789260856
1996-09-06T18:33:19.154	-59.3563648318654
1996-09-06T18:33:19.454	-59.3530780772101
1996-09-06T18:33:19.821	-59.4600310844959
1996-09-06T18:33:20.121	-59.5315827472829
1996-09-06T18:33:20.487	-59.5884408617707
1996-09-06T18:33:20.788	-59.5513676590435
1996-09-06T18:33:21.154	-59.6812586833154
1996-09-06T18:33:21.454	-59.6722744679049
1996-09-06T18:33:21.821	-59.6621383743684
1996-09-06T18:33:22.121	-59.6230358620403
1996-09-06T18:33:22.487	-59.6691391653914
1996-09-06T18:33:22.787	-59.5956549232867
1996-09-06T18:33:23.154	-59.5936453029863
