timedata	alt
2000-12-28T07:54:49.130	17115.114016
2000-12-28T07:54:49.463	17111.772392
2000-12-28T07:54:49.796	17108.430768
2000-12-28T07:54:50.130	17105.062832
2000-12-28T07:54:50.463	17101.721208
2000-12-28T07:54:50.796	17098.379584
2000-12-28T07:54:51.130	17095.011648
2000-12-28T07:54:51.463	17091.670024
2000-12-28T07:54:51.796	17088.3284
2000-12-28T07:54:52.130	17084.986776
2000-12-28T07:54:52.463	17081.645152
2000-12-28T07:54:52.796	17078.277216
2000-12-28T07:54:53.130	17074.935592
2000-12-28T07:54:53.463	17071.593968
2000-12-28T07:54:53.796	17068.252344
2000-12-28T07:54:54.130	17064.884408
2000-12-28T07:54:54.463	17061.542784
2000-12-28T07:54:54.796	17058.20116
2000-12-28T07:54:55.130	17054.859536
2000-12-28T07:54:55.463	17051.517912
2000-12-28T07:54:55.796	17048.149976
2000-12-28T07:54:56.130	17044.808352
2000-12-28T07:54:56.463	17041.466728
2000-12-28T07:54:56.796	17038.125104
2000-12-28T07:54:57.130	17034.757168
2000-12-28T07:54:57.463	17031.415544
2000-12-28T07:54:57.796	17028.07392
2000-12-28T07:54:58.130	17024.732296
2000-12-28T07:54:58.463	17021.390672
2000-12-28T07:54:58.796	17018.049048
2000-12-28T07:54:59.130	17014.681112
2000-12-28T07:54:59.463	17011.339488
2000-12-28T07:54:59.796	17007.997864
2000-12-28T07:55:00.130	17004.65624
2000-12-28T07:55:00.463	17001.288304
2000-12-28T07:55:00.796	16997.94668
2000-12-28T07:55:01.130	16994.605056
2000-12-28T07:55:01.463	16991.263432
2000-12-28T07:55:01.796	16987.921808
2000-12-28T07:55:02.130	16984.553872
2000-12-28T07:55:02.463	16981.212248
2000-12-28T07:55:02.796	16977.870624
2000-12-28T07:55:03.130	16974.529
2000-12-28T07:55:03.463	16971.187376
2000-12-28T07:55:03.796	16967.845752
2000-12-28T07:55:04.130	16964.477816
2000-12-28T07:55:04.463	16961.136192
2000-12-28T07:55:04.796	16957.794568
2000-12-28T07:55:05.130	16954.452944
2000-12-28T07:55:05.463	16951.11132
2000-12-28T07:55:05.796	16947.769696
2000-12-28T07:55:06.130	16944.40176
2000-12-28T07:55:06.463	16941.060136
