timebg	Bbgz
2000-05-20T09:43:05.226	-71.2966824880997
2000-05-20T09:43:05.560	-71.2974046430374
2000-05-20T09:43:05.893	-71.2981246358347
2000-05-20T09:43:06.226	-71.2988446286319
2000-05-20T09:43:06.560	-71.2995667835696
2000-05-20T09:43:06.893	-71.3002867763669
2000-05-20T09:43:07.226	-71.3010067691641
2000-05-20T09:43:07.560	-71.3017289241019
2000-05-20T09:43:07.893	-71.3024489168991
2000-05-20T09:43:08.226	-71.3031689096963
2000-05-20T09:43:08.560	-71.3038910646341
2000-05-20T09:43:08.893	-71.3046110574313
2000-05-20T09:43:09.226	-71.3053310502285
2000-05-20T09:43:09.560	-71.3060532051663
2000-05-20T09:43:09.893	-71.3067731979635
2000-05-20T09:43:10.226	-71.3074931907607
2000-05-20T09:43:10.560	-71.3082153456985
2000-05-20T09:43:10.893	-71.3089353384957
2000-05-20T09:43:11.226	-71.3096553312929
2000-05-20T09:43:11.560	-71.3103774862307
2000-05-20T09:43:11.893	-71.3110974790279
2000-05-20T09:43:12.226	-71.3118174718252
2000-05-20T09:43:12.560	-71.3125396267629
2000-05-20T09:43:12.893	-71.3132596195601
2000-05-20T09:43:13.226	-71.3139796123574
2000-05-20T09:43:13.560	-71.3147017672951
2000-05-20T09:43:13.893	-71.3154217600923
2000-05-20T09:43:14.226	-71.3161417528896
2000-05-20T09:43:14.560	-71.3168639078273
2000-05-20T09:43:14.893	-71.3175839006246
2000-05-20T09:43:15.226	-71.3183038934218
2000-05-20T09:43:15.560	-71.3190260483595
2000-05-20T09:43:15.893	-71.3197460411568
2000-05-20T09:43:16.226	-71.320466033954
2000-05-20T09:43:16.560	-71.3211881888918
2000-05-20T09:43:16.893	-71.321908181689
2000-05-20T09:43:17.226	-71.3226281744862
2000-05-20T09:43:17.560	-71.323350329424
2000-05-20T09:43:17.893	-71.3240703222212
2000-05-20T09:43:18.226	-71.3247903150184
2000-05-20T09:43:18.560	-71.3255124699562
2000-05-20T09:43:18.893	-71.3262324627534
2000-05-20T09:43:19.226	-71.3269524555507
2000-05-20T09:43:19.560	-71.3276746104884
2000-05-20T09:43:19.893	-71.3283946032856
2000-05-20T09:43:20.226	-71.3291145960829
2000-05-20T09:43:20.560	-71.3298367510206
2000-05-20T09:43:20.893	-71.3305567438179
2000-05-20T09:43:21.226	-71.3312767366151
2000-05-20T09:43:21.560	-71.3319988915528
2000-05-20T09:43:21.893	-71.3327188843501
2000-05-20T09:43:22.226	-71.3334388771473
2000-05-20T09:43:22.560	-71.334161032085
2000-05-20T09:43:22.893	-71.3348810248823
2000-05-20T09:43:23.226	-71.3356010176795
2000-05-20T09:43:23.560	-71.3363231726173
2000-05-20T09:43:23.893	-71.3370431654145
2000-05-20T09:43:24.226	-71.3377631582117
2000-05-20T09:43:24.560	-71.3384853131495
2000-05-20T09:43:24.893	-71.3392053059467
2000-05-20T09:43:25.226	-71.3399252987439
2000-05-20T09:43:25.560	-71.3406474536817
2000-05-20T09:43:25.893	-71.3413674464789
2000-05-20T09:43:26.226	-71.3420874392761
2000-05-20T09:43:26.560	-71.3428095942139
2000-05-20T09:43:26.893	-71.3435295870111
2000-05-20T09:43:27.226	-71.3442495798083
2000-05-20T09:43:27.560	-71.3449717347461
2000-05-20T09:43:27.893	-71.3456917275433
2000-05-20T09:43:28.226	-71.3464117203406
2000-05-20T09:43:28.560	-71.3471338752783
2000-05-20T09:43:28.893	-71.3478538680755
2000-05-20T09:43:29.226	-71.3485738608728
2000-05-20T09:43:29.560	-71.3492960158105
2000-05-20T09:43:29.893	-71.3500160086078
2000-05-20T09:43:30.226	-71.350736001405
2000-05-20T09:43:30.560	-71.3514581563427
2000-05-20T09:43:30.893	-71.35217814914
2000-05-20T09:43:31.226	-71.3528981419372
2000-05-20T09:43:31.559	-71.3536181347344
2000-05-20T09:43:31.893	-71.3543402896722
2000-05-20T09:43:32.226	-71.3550602824694
2000-05-20T09:43:32.559	-71.3557802752666
2000-05-20T09:43:32.893	-71.3565024302044
2000-05-20T09:43:33.226	-71.3572224230016
2000-05-20T09:43:33.559	-71.3579424157989
2000-05-20T09:43:33.893	-71.3586645707366
2000-05-20T09:43:34.226	-71.3593845635338
2000-05-20T09:43:34.559	-71.3601045563311
2000-05-20T09:43:34.893	-71.3608267112688
2000-05-20T09:43:35.226	-71.3615467040661
2000-05-20T09:43:35.559	-71.3622666968633
2000-05-20T09:43:35.893	-71.362988851801
2000-05-20T09:43:36.226	-71.3637088445983
2000-05-20T09:43:36.559	-71.3644288373955
2000-05-20T09:43:36.893	-71.3651509923333
2000-05-20T09:43:37.226	-71.3658709851305
2000-05-20T09:43:37.559	-71.3665909779277
2000-05-20T09:43:37.893	-71.3673131328655
2000-05-20T09:43:38.226	-71.3680331256627
2000-05-20T09:43:38.559	-71.3687531184599
2000-05-20T09:43:38.893	-71.3694752733977
2000-05-20T09:43:39.226	-71.3701952661949
2000-05-20T09:43:39.559	-71.3709152589921
2000-05-20T09:43:39.893	-71.3716374139299
2000-05-20T09:43:40.226	-71.3723574067271
2000-05-20T09:43:40.559	-71.3730773995243
2000-05-20T09:43:40.893	-71.3737995544621
2000-05-20T09:43:41.226	-71.3745195472593
2000-05-20T09:43:41.559	-71.3752395400566
2000-05-20T09:43:41.893	-71.3759616949943
2000-05-20T09:43:42.226	-71.3766816877915
2000-05-20T09:43:42.559	-71.3774016805888
2000-05-20T09:43:42.893	-71.3781238355265
2000-05-20T09:43:43.226	-71.3788438283238
2000-05-20T09:43:43.559	-71.379563821121
2000-05-20T09:43:43.893	-71.3802859760587
2000-05-20T09:43:44.226	-71.381005968856
2000-05-20T09:43:44.559	-71.3817259616532
2000-05-20T09:43:44.893	-71.382448116591
2000-05-20T09:43:45.226	-71.3831681093882
2000-05-20T09:43:45.559	-71.3838881021854
2000-05-20T09:43:45.893	-71.3846102571232
2000-05-20T09:43:46.226	-71.3853302499204
2000-05-20T09:43:46.559	-71.3860502427176
2000-05-20T09:43:46.893	-71.3867723976554
2000-05-20T09:43:47.226	-71.3874923904526
2000-05-20T09:43:47.559	-71.3882123832498
2000-05-20T09:43:47.893	-71.3889345381876
2000-05-20T09:43:48.226	-71.3896545309848
2000-05-20T09:43:48.559	-71.390374523782
2000-05-20T09:43:48.893	-71.3910966787198
2000-05-20T09:43:49.226	-71.391816671517
2000-05-20T09:43:49.559	-71.3925366643143
2000-05-20T09:43:49.893	-71.393258819252
2000-05-20T09:43:50.226	-71.3939788120492
2000-05-20T09:43:50.559	-71.3946988048465
2000-05-20T09:43:50.893	-71.3954209597842
2000-05-20T09:43:51.226	-71.3961409525814
2000-05-20T09:43:51.559	-71.3968609453787
2000-05-20T09:43:51.893	-71.3975831003165
2000-05-20T09:43:52.226	-71.3983030931137
2000-05-20T09:43:52.559	-71.3990230859109
2000-05-20T09:43:52.893	-71.3997452408486
2000-05-20T09:43:53.226	-71.4004652336459
2000-05-20T09:43:53.559	-71.4011852264431
2000-05-20T09:43:53.893	-71.4019073813809
2000-05-20T09:43:54.226	-71.4026273741781
2000-05-20T09:43:54.559	-71.4033473669753
2000-05-20T09:43:54.893	-71.4040695219131
2000-05-20T09:43:55.226	-71.4047895147103
2000-05-20T09:43:55.559	-71.4055095075075
2000-05-20T09:43:55.893	-71.4062316624453
2000-05-20T09:43:56.226	-71.4069516552425
2000-05-20T09:43:56.559	-71.4076716480398
2000-05-20T09:43:56.893	-71.4083938029775
2000-05-20T09:43:57.226	-71.4091137957747
2000-05-20T09:43:57.559	-71.409833788572
2000-05-20T09:43:57.893	-71.4105559435097
2000-05-20T09:43:58.226	-71.411275936307
2000-05-20T09:43:58.559	-71.4119959291042
2000-05-20T09:43:58.893	-71.4127180840419
2000-05-20T09:43:59.226	-71.4134380768392
2000-05-20T09:43:59.559	-71.4141580696364
2000-05-20T09:43:59.893	-71.4148802245741
2000-05-20T09:44:00.226	-71.4156002173714
2000-05-20T09:44:00.559	-71.4163202101686
2000-05-20T09:44:00.893	-71.4170423651064
2000-05-20T09:44:01.226	-71.4177623579036
2000-05-20T09:44:01.559	-71.4184823507008
2000-05-20T09:44:01.893	-71.4192045056386
2000-05-20T09:44:02.226	-71.4199244984358
2000-05-20T09:44:02.559	-71.420644491233
2000-05-20T09:44:02.893	-71.4213666461708
2000-05-20T09:44:03.226	-71.422086638968
2000-05-20T09:44:03.559	-71.4228066317652
2000-05-20T09:44:03.893	-71.423528786703
2000-05-20T09:44:04.226	-71.4242487795002
2000-05-20T09:44:04.559	-71.4249687722975
2000-05-20T09:44:04.893	-71.4256909272352
