time	alt
1996-09-06T18:33:26.787	9712.91692799999
1996-09-06T18:33:27.154	9710.20679199999
1996-09-06T18:33:27.454	9707.996584
1996-09-06T18:33:27.821	9705.28644799999
1996-09-06T18:33:28.121	9703.07623999999
1996-09-06T18:33:28.487	9700.366104
1996-09-06T18:33:28.787	9698.155896
1996-09-06T18:33:29.154	9695.44576
1996-09-06T18:33:29.454	9693.20924
1996-09-06T18:33:29.821	9690.499104
1996-09-06T18:33:30.121	9688.28889600001
1996-09-06T18:33:30.487	9685.57875999999
1996-09-06T18:33:30.787	9683.36855199999
1996-09-06T18:33:31.154	9680.658416
1996-09-06T18:33:31.454	9678.44820799999
1996-09-06T18:33:31.821	9675.73807199999
1996-09-06T18:33:32.121	9673.527864
1996-09-06T18:33:32.487	9670.817728
1996-09-06T18:33:32.787	9668.60751999999
1996-09-06T18:33:33.154	9665.89738399999
1996-09-06T18:33:33.454	9663.66086399999
1996-09-06T18:33:33.821	9660.950728
1996-09-06T18:33:34.121	9658.74052
1996-09-06T18:33:34.487	9656.03038399999
1996-09-06T18:33:34.787	9653.820176
1996-09-06T18:33:35.154	9651.11004000001
1996-09-06T18:33:35.454	9648.899832
1996-09-06T18:33:35.821	9646.18969599999
1996-09-06T18:33:36.121	9643.97948799999
1996-09-06T18:33:36.487	9641.26935200001
1996-09-06T18:33:36.787	9639.059144
1996-09-06T18:33:37.154	9636.34900799999
1996-09-06T18:33:37.454	9634.13880000001
1996-09-06T18:33:37.821	9631.428664
1996-09-06T18:33:38.121	9629.19214400001
1996-09-06T18:33:38.487	9626.50831999999
1996-09-06T18:33:38.787	9624.27179999999
1996-09-06T18:33:39.154	9621.56166399999
1996-09-06T18:33:39.454	9619.351456
1996-09-06T18:33:39.821	9616.64132
1996-09-06T18:33:40.121	9614.431112
1996-09-06T18:33:40.487	9611.720976
1996-09-06T18:33:40.787	9609.510768
1996-09-06T18:33:41.154	9606.80063200001
1996-09-06T18:33:41.454	9604.590424
1996-09-06T18:33:41.821	9601.88028799999
1996-09-06T18:33:42.121	9599.67008
