timebg	Bbgx
1997-05-07T15:36:55.133	-25.2857155392885
1997-05-07T15:36:55.467	-25.2804396185929
1997-05-07T15:36:55.800	-25.275179494067
1997-05-07T15:36:56.133	-25.2699193695411
1997-05-07T15:36:56.467	-25.2646434488454
1997-05-07T15:36:56.800	-25.2593833243195
1997-05-07T15:36:57.133	-25.2541231997936
1997-05-07T15:36:57.467	-25.248847279098
1997-05-07T15:36:57.800	-25.243587154572
1997-05-07T15:36:58.133	-25.2383270300461
1997-05-07T15:36:58.467	-25.2330511093505
1997-05-07T15:36:58.800	-25.2277909848246
1997-05-07T15:36:59.133	-25.2225308602987
1997-05-07T15:36:59.467	-25.217254939603
1997-05-07T15:36:59.800	-25.2119948150771
1997-05-07T15:37:00.133	-25.2067346905512
1997-05-07T15:37:00.467	-25.2014587698556
1997-05-07T15:37:00.800	-25.1961986453297
1997-05-07T15:37:01.133	-25.1909385208038
1997-05-07T15:37:01.467	-25.1856626001081
1997-05-07T15:37:01.800	-25.1804024755822
1997-05-07T15:37:02.133	-25.1751423510563
1997-05-07T15:37:02.467	-25.1698664303606
1997-05-07T15:37:02.800	-25.1646063058347
1997-05-07T15:37:03.133	-25.1593461813088
1997-05-07T15:37:03.467	-25.1540702606132
1997-05-07T15:37:03.800	-25.1488101360873
1997-05-07T15:37:04.133	-25.1435500115614
1997-05-07T15:37:04.467	-25.1382740908657
1997-05-07T15:37:04.800	-25.1330139663398
1997-05-07T15:37:05.133	-25.1277538418139
1997-05-07T15:37:05.467	-25.1224779211182
1997-05-07T15:37:05.800	-25.1172177965923
1997-05-07T15:37:06.133	-25.1119576720664
1997-05-07T15:37:06.467	-25.1066817513708
1997-05-07T15:37:06.800	-25.1014216268449
1997-05-07T15:37:07.133	-25.096161502319
1997-05-07T15:37:07.467	-25.0908855816233
1997-05-07T15:37:07.800	-25.0856254570974
1997-05-07T15:37:08.133	-25.0803653325715
1997-05-07T15:37:08.467	-25.0750894118759
1997-05-07T15:37:08.800	-25.0698292873499
1997-05-07T15:37:09.133	-25.064569162824
1997-05-07T15:37:09.467	-25.0592932421284
1997-05-07T15:37:09.800	-25.0540331176025
1997-05-07T15:37:10.133	-25.0487729930766
1997-05-07T15:37:10.467	-25.0434970723809
1997-05-07T15:37:10.800	-25.038236947855
1997-05-07T15:37:11.133	-25.0329768233291
1997-05-07T15:37:11.467	-25.0277009026335
1997-05-07T15:37:11.800	-25.0224407781076
1997-05-07T15:37:12.133	-25.0171806535817
1997-05-07T15:37:12.467	-25.011904732886
1997-05-07T15:37:12.800	-25.0066446083601
1997-05-07T15:37:13.133	-25.0013844838342
1997-05-07T15:37:13.467	-24.9961085631385
1997-05-07T15:37:13.800	-24.9908484386126
1997-05-07T15:37:14.133	-24.9855883140867
1997-05-07T15:37:14.467	-24.9803123933911
1997-05-07T15:37:14.800	-24.9750522688652
1997-05-07T15:37:15.133	-24.9697921443393
1997-05-07T15:37:15.467	-24.9645162236436
1997-05-07T15:37:15.800	-24.9592560991177
1997-05-07T15:37:16.133	-24.9539959745918
1997-05-07T15:37:16.467	-24.9487200538961
1997-05-07T15:37:16.800	-24.9434599293702
1997-05-07T15:37:17.133	-24.9381998048443
1997-05-07T15:37:17.467	-24.9329238841487
1997-05-07T15:37:17.800	-24.9276637596228
1997-05-07T15:37:18.133	-24.9224036350969
1997-05-07T15:37:18.467	-24.9171277144012
1997-05-07T15:37:18.800	-24.9118675898753
1997-05-07T15:37:19.133	-24.9066074653494
1997-05-07T15:37:19.467	-24.9013315446538
1997-05-07T15:37:19.800	-24.8960714201278
1997-05-07T15:37:20.133	-24.8908112956019
1997-05-07T15:37:20.467	-24.8855353749063
1997-05-07T15:37:20.800	-24.8802752503804
1997-05-07T15:37:21.133	-24.8750151258545
1997-05-07T15:37:21.467	-24.8697392051588
1997-05-07T15:37:21.800	-24.8644790806329
1997-05-07T15:37:22.134	-24.8592031599373
1997-05-07T15:37:22.467	-24.8539430354114
1997-05-07T15:37:22.800	-24.8486829108855
1997-05-07T15:37:23.133	-24.8434227863596
1997-05-07T15:37:23.467	-24.8381468656639
1997-05-07T15:37:23.800	-24.832886741138
1997-05-07T15:37:24.134	-24.8276108204423
1997-05-07T15:37:24.467	-24.8223506959164
1997-05-07T15:37:24.800	-24.8170905713905
1997-05-07T15:37:25.133	-24.8118304468646
1997-05-07T15:37:25.467	-24.806554526169
1997-05-07T15:37:25.800	-24.8012944016431
1997-05-07T15:37:26.134	-24.7960184809474
1997-05-07T15:37:26.467	-24.7907583564215
1997-05-07T15:37:26.800	-24.7854982318956
1997-05-07T15:37:27.133	-24.7802381073697
1997-05-07T15:37:27.467	-24.774962186674
1997-05-07T15:37:27.800	-24.7697020621481
1997-05-07T15:37:28.134	-24.7644261414525
1997-05-07T15:37:28.467	-24.7591660169266
1997-05-07T15:37:28.800	-24.7539058924007
1997-05-07T15:37:29.133	-24.7486457678748
1997-05-07T15:37:29.467	-24.7433698471791
1997-05-07T15:37:29.800	-24.7381097226532
1997-05-07T15:37:30.134	-24.7328338019576
1997-05-07T15:37:30.467	-24.7275736774317
1997-05-07T15:37:30.800	-24.7223135529058
1997-05-07T15:37:31.133	-24.7170534283798
1997-05-07T15:37:31.467	-24.7117775076842
1997-05-07T15:37:31.800	-24.7065173831583
1997-05-07T15:37:32.134	-24.7012414624626
1997-05-07T15:37:32.467	-24.6959813379367
1997-05-07T15:37:32.800	-24.6907212134108
1997-05-07T15:37:33.133	-24.6854610888849
1997-05-07T15:37:33.467	-24.6801851681893
1997-05-07T15:37:33.800	-24.6749250436634
1997-05-07T15:37:34.134	-24.6696491229677
1997-05-07T15:37:34.467	-24.6643889984418
1997-05-07T15:37:34.800	-24.6591288739159
1997-05-07T15:37:35.133	-24.65386874939
1997-05-07T15:37:35.467	-24.6485928286943
1997-05-07T15:37:35.800	-24.6433327041684
1997-05-07T15:37:36.134	-24.6380567834728
1997-05-07T15:37:36.467	-24.6327966589469
1997-05-07T15:37:36.800	-24.627536534421
1997-05-07T15:37:37.133	-24.6222764098951
1997-05-07T15:37:37.467	-24.6170004891994
1997-05-07T15:37:37.800	-24.6117403646735
1997-05-07T15:37:38.134	-24.6064644439779
1997-05-07T15:37:38.467	-24.6012043194519
