timebg	Bbgx
2021-06-07T16:35:00.506	3.31969667967139
2021-06-07T16:35:01.506	3.33461458550002
2021-06-07T16:35:02.506	3.34953249132865
2021-06-07T16:35:03.506	3.36445039715729
2021-06-07T16:35:04.506	3.37936830298592
2021-06-07T16:35:05.506	3.39428620881455
2021-06-07T16:35:06.506	3.40920411464319
2021-06-07T16:35:07.506	3.42412202047182
2021-06-07T16:35:08.506	3.43903992630045
2021-06-07T16:35:09.506	3.45395783212909
2021-06-07T16:35:10.506	3.46887573795772
2021-06-07T16:35:11.506	3.48379364378635
2021-06-07T16:35:12.506	3.49871154961499
2021-06-07T16:35:13.506	3.51362945544362
2021-06-07T16:35:14.506	3.52854736127225
2021-06-07T16:35:15.506	3.54346526710089
2021-06-07T16:35:16.506	3.55838317292952
2021-06-07T16:35:17.506	3.57330107875815
2021-06-07T16:35:18.506	3.58821898458679
2021-06-07T16:35:19.506	3.60313689041542
2021-06-07T16:35:20.506	3.61805479624405
2021-06-07T16:35:21.506	3.63297270207268
2021-06-07T16:35:22.506	3.64789060790132
2021-06-07T16:35:23.506	3.66280851372995
2021-06-07T16:35:24.506	3.67772641955859
2021-06-07T16:35:25.506	3.69264432538722
2021-06-07T16:35:26.506	3.70756223121585
2021-06-07T16:35:27.506	3.72248013704449
2021-06-07T16:35:28.506	3.73739804287312
2021-06-07T16:35:29.506	3.75231594870175
2021-06-07T16:35:30.506	3.76723385453039
2021-06-07T16:35:31.506	3.78215176035902
2021-06-07T16:35:32.506	3.79706966618765
2021-06-07T16:35:33.506	3.81198757201629
2021-06-07T16:35:34.506	3.82690547784492
2021-06-07T16:35:35.506	3.84182338367355
2021-06-07T16:35:36.506	3.85674128950219
2021-06-07T16:35:37.506	3.87165919533082
2021-06-07T16:35:38.506	3.88657710115945
2021-06-07T16:35:39.506	3.90149500698809
2021-06-07T16:35:40.506	3.91641291281672
2021-06-07T16:35:41.505	3.93131590073952
2021-06-07T16:35:42.505	3.94623380656816
2021-06-07T16:35:43.505	3.96115171239679
2021-06-07T16:35:44.506	3.97608453613125
2021-06-07T16:35:45.505	3.99098752405406
2021-06-07T16:35:46.506	4.00592034778852
2021-06-07T16:35:47.506	4.02083825361715
2021-06-07T16:35:48.506	4.03575615944579
2021-06-07T16:35:49.506	4.05067406527442
2021-06-07T16:35:50.506	4.06559197110305
2021-06-07T16:35:51.506	4.08050987693169
2021-06-07T16:35:52.505	4.09541286485449
2021-06-07T16:35:53.505	4.11033077068312
2021-06-07T16:35:54.505	4.12524867651176
2021-06-07T16:35:55.505	4.14016658234039
2021-06-07T16:35:56.505	4.15508448816902
2021-06-07T16:35:57.505	4.17000239399766
2021-06-07T16:35:58.505	4.18492029982629
2021-06-07T16:35:59.506	4.19985312356075
2021-06-07T16:36:00.506	4.21477102938939
2021-06-07T16:36:01.506	4.22968893521802
2021-06-07T16:36:02.506	4.24460684104665
2021-06-07T16:36:03.506	4.25952474687529
2021-06-07T16:36:04.506	4.27444265270392
2021-06-07T16:36:05.505	4.28934564062672
2021-06-07T16:36:06.505	4.30426354645536
2021-06-07T16:36:07.505	4.31918145228399
2021-06-07T16:36:08.505	4.33409935811262
2021-06-07T16:36:09.505	4.34901726394126
2021-06-07T16:36:10.505	4.36393516976989
2021-06-07T16:36:11.506	4.37886799350435
2021-06-07T16:36:12.505	4.39377098142716
2021-06-07T16:36:13.506	4.40870380516162
2021-06-07T16:36:14.506	4.42362171099025
2021-06-07T16:36:15.506	4.43853961681889
2021-06-07T16:36:16.506	4.45345752264752
2021-06-07T16:36:17.506	4.46837542847615
2021-06-07T16:36:18.506	4.48329333430479
2021-06-07T16:36:19.505	4.49819632222759
2021-06-07T16:36:20.505	4.51311422805622
2021-06-07T16:36:21.505	4.52803213388486
