timedata	alt
1996-06-27T06:07:50.227	7622.98108000001
1996-06-27T06:07:50.594	7620.376192
1996-06-27T06:07:50.894	7618.271232
1996-06-27T06:07:51.260	7615.666344
1996-06-27T06:07:51.560	7613.56138399999
1996-06-27T06:07:51.927	7610.95649599999
1996-06-27T06:07:52.227	7608.825224
1996-06-27T06:07:52.594	7606.246648
1996-06-27T06:07:52.894	7604.115376
1996-06-27T06:07:53.260	7601.53680000001
1996-06-27T06:07:53.560	7599.40552799999
1996-06-27T06:07:53.927	7596.80063999999
1996-06-27T06:07:54.227	7594.69567999999
1996-06-27T06:07:54.594	7592.09079200001
1996-06-27T06:07:54.894	7589.95952000001
1996-06-27T06:07:55.260	7587.380944
1996-06-27T06:07:55.560	7585.24967200001
1996-06-27T06:07:55.927	7582.671096
1996-06-27T06:07:56.227	7580.53982399999
1996-06-27T06:07:56.594	7577.96124799999
1996-06-27T06:07:56.894	7575.82997600001
1996-06-27T06:07:57.260	7573.2514
1996-06-27T06:07:57.560	7571.12012799999
1996-06-27T06:07:57.927	7568.54155199999
1996-06-27T06:07:58.227	7566.41028
1996-06-27T06:07:58.594	7563.805392
1996-06-27T06:07:58.894	7561.700432
1996-06-27T06:07:59.260	7559.09554399999
1996-06-27T06:07:59.560	7556.99058399999
1996-06-27T06:07:59.927	7554.38569599999
1996-06-27T06:08:00.227	7552.280736
1996-06-27T06:08:00.594	7549.675848
1996-06-27T06:08:00.894	7547.54457599999
1996-06-27T06:08:01.260	7544.966
1996-06-27T06:08:01.560	7542.86103999999
1996-06-27T06:08:01.927	7540.25615199999
1996-06-27T06:08:02.227	7538.12488000001
1996-06-27T06:08:02.594	7535.546304
1996-06-27T06:08:02.894	7533.415032
1996-06-27T06:08:03.260	7530.83645600001
1996-06-27T06:08:03.560	7528.73149600001
1996-06-27T06:08:03.927	7526.12660799999
1996-06-27T06:08:04.227	7523.99533599999
1996-06-27T06:08:04.594	7521.41675999999
1996-06-27T06:08:04.894	7519.28548800001
1996-06-27T06:08:05.260	7516.70691200001
1996-06-27T06:08:05.560	7514.601952
1996-06-27T06:08:05.927	7511.99706399999
1996-06-27T06:08:06.227	7509.865792
1996-06-27T06:08:06.594	7507.287216
1996-06-27T06:08:06.894	7505.155944
1996-06-27T06:08:07.260	7502.57736799999
1996-06-27T06:08:07.560	7500.472408
1996-06-27T06:08:07.927	7497.86751999999
1996-06-27T06:08:08.227	7495.76256000001
1996-06-27T06:08:08.594	7493.15767200001
1996-06-27T06:08:08.894	7491.05271199999
1996-06-27T06:08:09.260	7488.44782400001
1996-06-27T06:08:09.560	7486.34286399999
1996-06-27T06:08:09.927	7483.737976
1996-06-27T06:08:10.227	7481.633016
1996-06-27T06:08:10.594	7479.028128
1996-06-27T06:08:10.894	7476.923168
1996-06-27T06:08:11.260	7474.34459200001
1996-06-27T06:08:11.560	7472.21332
1996-06-27T06:08:11.927	7469.63474400001
1996-06-27T06:08:12.227	7467.503472
1996-06-27T06:08:12.594	7464.92489599999
1996-06-27T06:08:12.894	7462.79362400001
1996-06-27T06:08:13.260	7460.21504800001
1996-06-27T06:08:13.560	7458.083776
1996-06-27T06:08:13.927	7455.5052
1996-06-27T06:08:14.227	7453.373928
1996-06-27T06:08:14.594	7450.79535200001
1996-06-27T06:08:14.894	7448.66408000001
1996-06-27T06:08:15.260	7446.08550400001
1996-06-27T06:08:15.560	7443.98054399999
1996-06-27T06:08:15.927	7441.37565599999
1996-06-27T06:08:16.227	7439.270696
1996-06-27T06:08:16.594	7436.66580799999
1996-06-27T06:08:16.894	7434.560848
1996-06-27T06:08:17.260	7431.98227200001
1996-06-27T06:08:17.560	7429.85100000001
1996-06-27T06:08:17.927	7427.27242400001
1996-06-27T06:08:18.227	7425.141152
1996-06-27T06:08:18.594	7422.56257599999
1996-06-27T06:08:18.894	7420.457616
1996-06-27T06:08:19.260	7417.852728
1996-06-27T06:08:19.560	7415.74776800001
1996-06-27T06:08:19.927	7413.16919200001
1996-06-27T06:08:20.227	7411.03792000001
1996-06-27T06:08:20.594	7408.459344
1996-06-27T06:08:20.894	7406.328072
1996-06-27T06:08:21.260	7403.74949600001
1996-06-27T06:08:21.560	7401.64453599999
1996-06-27T06:08:21.927	7399.039648
1996-06-27T06:08:22.227	7396.93468800001
1996-06-27T06:08:22.594	7394.35611200001
1996-06-27T06:08:22.894	7392.22484000001
1996-06-27T06:08:23.260	7389.646264
1996-06-27T06:08:23.560	7387.54130400001
1996-06-27T06:08:23.927	7384.93641600001
1996-06-27T06:08:24.227	7382.831456
1996-06-27T06:08:24.594	7380.226568
1996-06-27T06:08:24.894	7378.12160800001
1996-06-27T06:08:25.260	7375.543032
1996-06-27T06:08:25.560	7373.41176000001
1996-06-27T06:08:25.927	7370.83318399999
1996-06-27T06:08:26.227	7368.72822399999
1996-06-27T06:08:26.594	7366.123336
1996-06-27T06:08:26.894	7364.018376
1996-06-27T06:08:27.260	7361.43980000001
1996-06-27T06:08:27.560	7359.308528
1996-06-27T06:08:27.927	7356.72995200001
1996-06-27T06:08:28.227	7354.624992
1996-06-27T06:08:28.594	7352.02010400001
1996-06-27T06:08:28.894	7349.91514399999
1996-06-27T06:08:29.260	7347.336568
1996-06-27T06:08:29.560	7345.23160799999
1996-06-27T06:08:29.927	7342.62672
1996-06-27T06:08:30.227	7340.52175999999
1996-06-27T06:08:30.594	7337.94318399999
1996-06-27T06:08:30.894	7335.81191199999
1996-06-27T06:08:31.260	7333.23333599999
1996-06-27T06:08:31.560	7331.12837600001
1996-06-27T06:08:31.927	7328.523488
1996-06-27T06:08:32.227	7326.41852799999
1996-06-27T06:08:32.594	7323.839952
1996-06-27T06:08:32.894	7321.73499199999
1996-06-27T06:08:33.260	7319.130104
1996-06-27T06:08:33.560	7317.025144
1996-06-27T06:08:33.927	7314.44656799999
1996-06-27T06:08:34.227	7312.31529600001
1996-06-27T06:08:34.594	7309.73672000001
1996-06-27T06:08:34.894	7307.63176000001
1996-06-27T06:08:35.260	7305.05318400001
1996-06-27T06:08:35.560	7302.94822400001
1996-06-27T06:08:35.927	7300.34333599999
1996-06-27T06:08:36.227	7298.23837600001
1996-06-27T06:08:36.594	7295.65980000001
1996-06-27T06:08:36.894	7293.52852799999
1996-06-27T06:08:37.260	7290.94995199999
1996-06-27T06:08:37.560	7288.84499200001
1996-06-27T06:08:37.927	7286.266416
1996-06-27T06:08:38.227	7284.135144
1996-06-27T06:08:38.594	7281.556568
1996-06-27T06:08:38.894	7279.45160800001
1996-06-27T06:08:39.260	7276.873032
1996-06-27T06:08:39.560	7274.768072
1996-06-27T06:08:39.927	7272.16318400001
1996-06-27T06:08:40.227	7270.058224
1996-06-27T06:08:40.594	7267.479648
1996-06-27T06:08:40.894	7265.37468799999
1996-06-27T06:08:41.260	7262.796112
1996-06-27T06:08:41.560	7260.66484
1996-06-27T06:08:41.927	7258.08626400001
1996-06-27T06:08:42.227	7255.981304
1996-06-27T06:08:42.594	7253.402728
1996-06-27T06:08:42.894	7251.271456
1996-06-27T06:08:43.260	7248.69288000001
1996-06-27T06:08:43.560	7246.58791999999
1996-06-27T06:08:43.927	7244.009344
1996-06-27T06:08:44.227	7241.90438400001
1996-06-27T06:08:44.594	7239.29949599999
1996-06-27T06:08:44.894	7237.19453600001
1996-06-27T06:08:45.260	7234.61596
1996-06-27T06:08:45.560	7232.511
1996-06-27T06:08:45.927	7229.93242399999
1996-06-27T06:08:46.227	7227.82746399999
1996-06-27T06:08:46.594	7225.22257599999
1996-06-27T06:08:46.894	7223.117616
1996-06-27T06:08:47.260	7220.53904
1996-06-27T06:08:47.560	7218.43407999999
1996-06-27T06:08:47.927	7215.85550399999
1996-06-27T06:08:48.227	7213.750544
1996-06-27T06:08:48.594	7211.145656
1996-06-27T06:08:48.894	7209.040696
1996-06-27T06:08:49.260	7206.46212
1996-06-27T06:08:49.560	7204.35716
1996-06-27T06:08:49.927	7201.778584
1996-06-27T06:08:50.227	7199.67362399999
1996-06-27T06:08:50.594	7197.095048
1996-06-27T06:08:50.894	7194.96377599999
1996-06-27T06:08:51.260	7192.41151199999
1996-06-27T06:08:51.560	7190.28023999999
1996-06-27T06:08:51.927	7187.70166399999
1996-06-27T06:08:52.227	7185.59670399999
1996-06-27T06:08:52.594	7183.01812800001
1996-06-27T06:08:52.894	7180.913168
1996-06-27T06:08:53.260	7178.33459200001
1996-06-27T06:08:53.560	7176.229632
1996-06-27T06:08:53.927	7173.65105600001
1996-06-27T06:08:54.227	7171.51978399999
1996-06-27T06:08:54.594	7168.94120799999
1996-06-27T06:08:54.894	7166.83624800001
1996-06-27T06:08:55.260	7164.25767199999
1996-06-27T06:08:55.560	7162.15271200001
1996-06-27T06:08:55.927	7159.57413599999
1996-06-27T06:08:56.227	7157.469176
1996-06-27T06:08:56.594	7154.8906
1996-06-27T06:08:56.894	7152.78564
1996-06-27T06:08:57.260	7150.20706400001
1996-06-27T06:08:57.560	7148.10210399999
1996-06-27T06:08:57.927	7145.523528
1996-06-27T06:08:58.227	7143.392256
1996-06-27T06:08:58.594	7140.81368000001
1996-06-27T06:08:58.894	7138.70872
1996-06-27T06:08:59.260	7136.130144
1996-06-27T06:08:59.560	7134.02518400001
1996-06-27T06:08:59.927	7131.44660800001
1996-06-27T06:09:00.227	7129.341648
1996-06-27T06:09:00.594	7126.76307199999
1996-06-27T06:09:00.894	7124.65811199999
1996-06-27T06:09:01.260	7122.079536
1996-06-27T06:09:01.560	7119.97457599999
1996-06-27T06:09:01.927	7117.396
1996-06-27T06:09:02.227	7115.29104000001
1996-06-27T06:09:02.594	7112.712464
1996-06-27T06:09:02.894	7110.60750400001
1996-06-27T06:09:03.260	7108.028928
1996-06-27T06:09:03.560	7105.92396799999
1996-06-27T06:09:03.927	7103.34539200001
1996-06-27T06:09:04.227	7101.240432
1996-06-27T06:09:04.594	7098.66185599999
1996-06-27T06:09:04.894	7096.53058399999
1996-06-27T06:09:05.260	7093.97831999999
1996-06-27T06:09:05.560	7091.87336
1996-06-27T06:09:05.927	7089.294784
1996-06-27T06:09:06.227	7087.18982399999
1996-06-27T06:09:06.594	7084.61124799999
1996-06-27T06:09:06.894	7082.479976
1996-06-27T06:09:07.260	7079.927712
1996-06-27T06:09:07.560	7077.82275199999
1996-06-27T06:09:07.927	7075.24417599999
1996-06-27T06:09:08.227	7073.13921599999
1996-06-27T06:09:08.594	7070.56064
1996-06-27T06:09:08.894	7068.45567999999
1996-06-27T06:09:09.260	7065.877104
1996-06-27T06:09:09.560	7063.77214400001
1996-06-27T06:09:09.927	7061.19356799999
1996-06-27T06:09:10.227	7059.08860799999
1996-06-27T06:09:10.594	7056.510032
1996-06-27T06:09:10.894	7054.40507200001
1996-06-27T06:09:11.260	7051.82649599999
1996-06-27T06:09:11.560	7049.72153599999
1996-06-27T06:09:11.927	7047.14296000001
1996-06-27T06:09:12.227	7045.03800000001
1996-06-27T06:09:12.594	7042.45942400001
1996-06-27T06:09:12.894	7040.354464
1996-06-27T06:09:13.260	7037.775888
1996-06-27T06:09:13.560	7035.67092799999
1996-06-27T06:09:13.927	7033.11866400001
1996-06-27T06:09:14.227	7030.98739199999
1996-06-27T06:09:14.594	7028.43512800001
1996-06-27T06:09:14.894	7026.33016799999
1996-06-27T06:09:15.260	7023.75159200001
1996-06-27T06:09:15.560	7021.64663199999
1996-06-27T06:09:15.927	7019.068056
1996-06-27T06:09:16.227	7016.96309599999
1996-06-27T06:09:16.594	7014.38452000001
1996-06-27T06:09:16.894	7012.27956000001
1996-06-27T06:09:17.260	7009.700984
1996-06-27T06:09:17.560	7007.596024
1996-06-27T06:09:17.927	7005.04376
1996-06-27T06:09:18.227	7002.9388
1996-06-27T06:09:18.594	7000.36022400001
1996-06-27T06:09:18.894	6998.25526399999
1996-06-27T06:09:19.260	6995.676688
1996-06-27T06:09:19.560	6993.57172799999
1996-06-27T06:09:19.927	6990.993152
1996-06-27T06:09:20.227	6988.88819199999
1996-06-27T06:09:20.594	6986.30961600001
1996-06-27T06:09:20.894	6984.20465599999
1996-06-27T06:09:21.260	6981.65239199999
1996-06-27T06:09:21.560	6979.54743199999
1996-06-27T06:09:21.927	6976.96885600001
1996-06-27T06:09:22.227	6974.86389599999
1996-06-27T06:09:22.594	6972.28532000001
1996-06-27T06:09:22.894	6970.18036
1996-06-27T06:09:23.260	6967.62809600001
1996-06-27T06:09:23.560	6965.52313599999
1996-06-27T06:09:23.927	6962.94456
1996-06-27T06:09:24.227	6960.83960000001
1996-06-27T06:09:24.594	6958.26102400001
1996-06-27T06:09:24.894	6956.15606399999
1996-06-27T06:09:25.260	6953.60380000001
1996-06-27T06:09:25.560	6951.49884
1996-06-27T06:09:25.927	6948.92026400001
1996-06-27T06:09:26.227	6946.81530399999
1996-06-27T06:09:26.594	6944.23672800001
1996-06-27T06:09:26.894	6942.13176800001
1996-06-27T06:09:27.260	6939.57950400001
1996-06-27T06:09:27.560	6937.47454400001
1996-06-27T06:09:27.927	6934.89596799999
1996-06-27T06:09:28.227	6932.791008
1996-06-27T06:09:28.594	6930.21243199999
1996-06-27T06:09:28.894	6928.10747200001
1996-06-27T06:09:29.260	6925.555208
1996-06-27T06:09:29.560	6923.450248
1996-06-27T06:09:29.927	6920.871672
1996-06-27T06:09:30.227	6918.766712
1996-06-27T06:09:30.594	6916.21444799999
1996-06-27T06:09:30.894	6914.10948799999
1996-06-27T06:09:31.260	6911.53091199999
1996-06-27T06:09:31.560	6909.42595199999
1996-06-27T06:09:31.927	6906.87368799999
1996-06-27T06:09:32.227	6904.768728
1996-06-27T06:09:32.594	6902.19015199999
1996-06-27T06:09:32.894	6900.08519199999
1996-06-27T06:09:33.260	6897.532928
1996-06-27T06:09:33.560	6895.427968
1996-06-27T06:09:33.927	6892.849392
1996-06-27T06:09:34.227	6890.744432
1996-06-27T06:09:34.594	6888.192168
1996-06-27T06:09:34.894	6886.08720800001
1996-06-27T06:09:35.260	6883.508632
1996-06-27T06:09:35.560	6881.40367199999
1996-06-27T06:09:35.927	6878.85140800001
1996-06-27T06:09:36.227	6876.74644799999
1996-06-27T06:09:36.594	6874.16787199999
