time	By
2021-06-07T16:56:14.505	-178.658
2021-06-07T16:56:15.504	-179.959
2021-06-07T16:56:16.504	-181.315
2021-06-07T16:56:17.504	-182.513
2021-06-07T16:56:18.504	-183.467
2021-06-07T16:56:19.504	-184.713
2021-06-07T16:56:20.504	-186.014
2021-06-07T16:56:21.504	-187.404
2021-06-07T16:56:22.505	-188.615
2021-06-07T16:56:23.505	-189.864
2021-06-07T16:56:24.505	-190.901
2021-06-07T16:56:25.505	-192.211
2021-06-07T16:56:26.505	-193.692
2021-06-07T16:56:27.505	-194.686
2021-06-07T16:56:28.504	-195.689
2021-06-07T16:56:29.504	-196.723
2021-06-07T16:56:30.504	-197.53
2021-06-07T16:56:31.504	-198.348
2021-06-07T16:56:32.504	-199.136
2021-06-07T16:56:33.504	-200.515
2021-06-07T16:56:34.505	-201.292
2021-06-07T16:56:35.504	-202.257
2021-06-07T16:56:36.505	-203.452
2021-06-07T16:56:37.505	-204.462
2021-06-07T16:56:38.505	-205.334
2021-06-07T16:56:39.505	-206.311
2021-06-07T16:56:40.505	-207.17
2021-06-07T16:56:41.504	-207.774
2021-06-07T16:56:42.504	-208.453
2021-06-07T16:56:43.504	-209.119
2021-06-07T16:56:44.504	-209.774
2021-06-07T16:56:45.504	-210.498
2021-06-07T16:56:46.504	-211.293
2021-06-07T16:56:47.505	-212.196
2021-06-07T16:56:48.504	-212.94
2021-06-07T16:56:49.505	-213.685
2021-06-07T16:56:50.505	-214.302
2021-06-07T16:56:51.505	-214.984
2021-06-07T16:56:52.505	-215.634
2021-06-07T16:56:53.505	-216.227
2021-06-07T16:56:54.505	-216.969
2021-06-07T16:56:55.504	-217.651
2021-06-07T16:56:56.504	-218.271
2021-06-07T16:56:57.504	-218.8
2021-06-07T16:56:58.504	-219.251
2021-06-07T16:56:59.504	-219.627
2021-06-07T16:57:00.504	-219.833
2021-06-07T16:57:01.505	-219.873
2021-06-07T16:57:02.504	-220.037
2021-06-07T16:57:03.505	-219.979
2021-06-07T16:57:04.505	-219.927
2021-06-07T16:57:05.505	-220.039
2021-06-07T16:57:06.505	-219.995
2021-06-07T16:57:07.505	-219.972
2021-06-07T16:57:08.504	-220.012
2021-06-07T16:57:09.504	-220.134
2021-06-07T16:57:10.504	-220.493
2021-06-07T16:57:11.504	-220.896
2021-06-07T16:57:12.504	-220.834
2021-06-07T16:57:13.504	-220.685
2021-06-07T16:57:14.504	-220.789
2021-06-07T16:57:15.504	-220.79
2021-06-07T16:57:16.505	-220.899
2021-06-07T16:57:17.505	-220.842
2021-06-07T16:57:18.505	-220.734
2021-06-07T16:57:19.505	-220.72
2021-06-07T16:57:20.505	-220.502
2021-06-07T16:57:21.505	-220.365
2021-06-07T16:57:22.504	-220.076
2021-06-07T16:57:23.504	-219.824
2021-06-07T16:57:24.504	-219.54
2021-06-07T16:57:25.504	-219.349
2021-06-07T16:57:26.504	-219.049
2021-06-07T16:57:27.504	-218.794
2021-06-07T16:57:28.504	-218.43
2021-06-07T16:57:29.504	-218.036
2021-06-07T16:57:30.504	-217.606
2021-06-07T16:57:31.504	-217.524
2021-06-07T16:57:32.504	-217.132
2021-06-07T16:57:33.504	-216.47
2021-06-07T16:57:34.504	-215.927
2021-06-07T16:57:35.504	-215.389
2021-06-07T16:57:36.504	-215.109
2021-06-07T16:57:37.504	-215.002
2021-06-07T16:57:38.504	-214.575
2021-06-07T16:57:39.504	-214.066
2021-06-07T16:57:40.504	-213.684
2021-06-07T16:57:41.504	-212.929
2021-06-07T16:57:42.504	-212.13
2021-06-07T16:57:43.504	-211.319
2021-06-07T16:57:44.504	-210.869
2021-06-07T16:57:45.504	-210.196
2021-06-07T16:57:46.504	-209.278
2021-06-07T16:57:47.504	-208.069
2021-06-07T16:57:48.504	-207.415
2021-06-07T16:57:49.504	-206.967
2021-06-07T16:57:50.504	-206.451
2021-06-07T16:57:51.504	-206.452
2021-06-07T16:57:52.504	-206.069
2021-06-07T16:57:53.504	-205.165
2021-06-07T16:57:54.504	-204.689
2021-06-07T16:57:55.504	-204.393
2021-06-07T16:57:56.504	-203.574
2021-06-07T16:57:57.504	-202.876
2021-06-07T16:57:58.504	-202.258
2021-06-07T16:57:59.504	-201.621
